station,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
SEA,2015.0,1.0,1,0,33.08,19.94,58.08,10.0,6.904679999999999,7.945767650399998,0.0,1033.8,10.0,2015-01-01T08:00:00Z
SEA,2015.0,1.0,1,1,33.98,21.92,60.93,30.0,11.5078,13.242946083999998,0.0,1033.4,10.0,2015-01-01T09:00:00Z
SEA,2015.0,1.0,1,2,33.98,21.02,58.66,30.0,12.658579999999999,14.567240692399997,0.0,1032.9,10.0,2015-01-01T10:00:00Z
SEA,2015.0,1.0,1,3,33.08,21.92,63.17,30.0,10.357019999999999,11.918651475599997,0.0,1032.8,10.0,2015-01-01T11:00:00Z
SEA,2015.0,1.0,1,4,32.0,21.92,65.97,30.0,9.20624,10.594356867199998,0.0,1032.2,10.0,2015-01-01T12:00:00Z
SEA,2015.0,1.0,1,5,33.08,21.02,60.81,20.0,8.05546,9.2700622588,0.0,1031.4,10.0,2015-01-01T13:00:00Z
SEA,2015.0,1.0,1,6,30.92,21.92,68.92,40.0,6.904679999999999,7.945767650399998,0.0,1031.1,10.0,2015-01-01T14:00:00Z
SEA,2015.0,1.0,1,7,30.02,21.92,71.48,30.0,5.7539,6.621473041999999,0.0,1030.8,10.0,2015-01-01T15:00:00Z
SEA,2015.0,1.0,1,8,30.02,23.0,74.81,30.0,8.05546,9.2700622588,0.0,1030.5,10.0,2015-01-01T16:00:00Z
SEA,2015.0,1.0,1,9,30.92,23.0,72.12,50.0,9.20624,10.594356867199998,0.0,1030.0,10.0,2015-01-01T17:00:00Z
SEA,2015.0,1.0,1,10,30.02,23.0,74.81,50.0,3.4523399999999995,3.972883825199999,0.0,1029.7,10.0,2015-01-01T18:00:00Z
SEA,2015.0,1.0,1,11,30.02,21.02,68.81,80.0,4.60312,5.297178433599999,0.0,1029.1,10.0,2015-01-01T19:00:00Z
SEA,2015.0,1.0,1,12,26.96,19.94,74.5,50.0,3.4523399999999995,3.972883825199999,0.0,1028.5,10.0,2015-01-01T20:00:00Z
SEA,2015.0,1.0,1,13,28.94,21.92,74.7,0.0,0.0,0.0,0.0,1027.7,10.0,2015-01-01T21:00:00Z
SEA,2015.0,1.0,1,14,28.94,24.08,81.8,60.0,3.4523399999999995,3.972883825199999,0.0,1027.6,10.0,2015-01-01T22:00:00Z
SEA,2015.0,1.0,1,15,28.04,21.92,77.5,40.0,3.4523399999999995,3.972883825199999,0.0,1028.0,10.0,2015-01-01T23:00:00Z
SEA,2015.0,1.0,1,16,30.92,24.08,75.46,0.0,0.0,0.0,0.0,1028.2,10.0,2015-01-02T00:00:00Z
SEA,2015.0,1.0,1,17,32.0,24.08,72.24,0.0,0.0,0.0,0.0,1028.0,10.0,2015-01-02T01:00:00Z
SEA,2015.0,1.0,1,18,35.06,21.92,58.37,0.0,0.0,0.0,0.0,1027.8,10.0,2015-01-02T02:00:00Z
SEA,2015.0,1.0,1,19,39.02,21.92,49.93,360.0,4.60312,5.297178433599999,0.0,1027.0,10.0,2015-01-02T03:00:00Z
SEA,2015.0,1.0,1,20,39.92,24.08,52.79,20.0,4.60312,5.297178433599999,0.0,1026.3,10.0,2015-01-02T04:00:00Z
SEA,2015.0,1.0,1,21,41.0,23.0,48.39,NA,4.60312,5.297178433599999,0.0,1025.7,10.0,2015-01-02T05:00:00Z
SEA,2015.0,1.0,1,22,41.0,23.0,48.39,0.0,0.0,0.0,0.0,1025.5,10.0,2015-01-02T06:00:00Z
SEA,2015.0,1.0,1,23,41.0,24.08,50.63,0.0,0.0,0.0,0.0,1025.6,10.0,2015-01-02T07:00:00Z
SEA,2015.0,1.0,2,0,37.94,24.08,57.04,0.0,0.0,0.0,0.0,1025.5,10.0,2015-01-02T08:00:00Z
SEA,2015.0,1.0,2,1,35.96,24.98,64.03,360.0,3.4523399999999995,3.972883825199999,0.0,1025.2,10.0,2015-01-02T09:00:00Z
SEA,2015.0,1.0,2,2,35.06,26.06,69.4,350.0,3.4523399999999995,3.972883825199999,0.0,1025.0,10.0,2015-01-02T10:00:00Z
SEA,2015.0,1.0,2,3,35.06,26.06,69.4,0.0,0.0,0.0,0.0,1024.2,10.0,2015-01-02T11:00:00Z
SEA,2015.0,1.0,2,4,33.08,26.06,75.11,0.0,0.0,0.0,0.0,1024.0,10.0,2015-01-02T12:00:00Z
SEA,2015.0,1.0,2,5,32.0,24.08,72.24,120.0,5.7539,6.621473041999999,0.0,1023.9,10.0,2015-01-02T13:00:00Z
SEA,2015.0,1.0,2,6,33.98,24.08,66.72,0.0,0.0,0.0,0.0,1024.1,10.0,2015-01-02T14:00:00Z
SEA,2015.0,1.0,2,7,32.0,23.0,69.04,0.0,0.0,0.0,0.0,1024.1,10.0,2015-01-02T15:00:00Z
SEA,2015.0,1.0,2,8,32.0,24.98,75.0,160.0,3.4523399999999995,3.972883825199999,0.0,1023.3,10.0,2015-01-02T16:00:00Z
SEA,2015.0,1.0,2,9,33.98,24.98,69.28,0.0,0.0,0.0,0.0,1023.1,10.0,2015-01-02T17:00:00Z
SEA,2015.0,1.0,2,10,33.98,24.98,69.28,140.0,5.7539,6.621473041999999,0.0,1022.7,10.0,2015-01-02T18:00:00Z
SEA,2015.0,1.0,2,11,33.08,24.98,71.82,120.0,5.7539,6.621473041999999,0.0,1022.1,10.0,2015-01-02T19:00:00Z
SEA,2015.0,1.0,2,12,33.08,26.06,75.11,80.0,3.4523399999999995,3.972883825199999,0.0,1022.2,10.0,2015-01-02T20:00:00Z
SEA,2015.0,1.0,2,13,33.08,26.06,75.11,120.0,3.4523399999999995,3.972883825199999,0.0,1022.2,10.0,2015-01-02T21:00:00Z
SEA,2015.0,1.0,2,14,33.98,26.96,75.2,150.0,4.60312,5.297178433599999,0.0,1022.5,10.0,2015-01-02T22:00:00Z
SEA,2015.0,1.0,2,15,35.06,28.04,75.31,0.0,0.0,0.0,0.0,1022.9,10.0,2015-01-02T23:00:00Z
SEA,2015.0,1.0,2,16,35.96,30.02,78.79,0.0,0.0,0.0,0.0,1023.4,10.0,2015-01-03T00:00:00Z
SEA,2015.0,1.0,2,17,35.6,28.4,74.8,130.0,5.7539,6.621473041999999,0.0,NA,10.0,2015-01-03T01:00:00Z
SEA,2015.0,1.0,2,18,35.96,28.04,72.66,NA,5.7539,6.621473041999999,0.0,1022.6,10.0,2015-01-03T02:00:00Z
SEA,2015.0,1.0,2,19,37.04,30.02,75.5,200.0,5.7539,6.621473041999999,0.0,1021.6,10.0,2015-01-03T03:00:00Z
SEA,2015.0,1.0,2,20,37.4,30.2,74.98,190.0,4.60312,5.297178433599999,0.0,NA,10.0,2015-01-03T04:00:00Z
SEA,2015.0,1.0,2,21,37.4,32.0,80.65,160.0,9.20624,10.594356867199998,0.0,NA,10.0,2015-01-03T05:00:00Z
SEA,2015.0,1.0,2,22,39.02,35.06,85.55,180.0,12.658579999999999,14.567240692399997,0.0,1020.4,10.0,2015-01-03T06:00:00Z
SEA,2015.0,1.0,2,23,41.0,37.04,85.67,180.0,14.960139999999999,17.215829909199996,0.0,1019.6,10.0,2015-01-03T07:00:00Z
SEA,2015.0,1.0,3,0,41.0,37.94,88.76,210.0,13.809359999999998,15.891535300799996,0.0,1019.9,8.0,2015-01-03T08:00:00Z
SEA,2015.0,1.0,3,1,41.0,39.2,93.24,280.0,6.904679999999999,7.945767650399998,0.0,NA,2.5,2015-01-03T09:00:00Z
SEA,2015.0,1.0,3,2,39.92,37.94,92.56,360.0,5.7539,6.621473041999999,0.0,1021.4,1.0,2015-01-03T10:00:00Z
SEA,2015.0,1.0,3,3,39.2,39.2,100.0,240.0,3.4523399999999995,3.972883825199999,0.05,NA,4.0,2015-01-03T11:00:00Z
SEA,2015.0,1.0,3,4,39.2,39.2,100.0,210.0,3.4523399999999995,3.972883825199999,0.0,NA,1.5,2015-01-03T12:00:00Z
SEA,2015.0,1.0,3,5,41.0,39.2,93.24,0.0,0.0,0.0,0.0,NA,0.5,2015-01-03T13:00:00Z
SEA,2015.0,1.0,3,6,39.2,37.4,93.19,330.0,4.60312,5.297178433599999,0.0,NA,7.0,2015-01-03T14:00:00Z
SEA,2015.0,1.0,3,7,39.2,37.4,93.19,340.0,4.60312,5.297178433599999,0.0,NA,7.0,2015-01-03T15:00:00Z
SEA,2015.0,1.0,3,8,39.92,37.04,89.34,340.0,6.904679999999999,7.945767650399998,0.0,1024.5,10.0,2015-01-03T16:00:00Z
SEA,2015.0,1.0,3,9,35.96,33.98,92.43,330.0,4.60312,5.297178433599999,0.0,1024.9,10.0,2015-01-03T17:00:00Z
SEA,2015.0,1.0,3,10,37.04,33.08,85.43,350.0,6.904679999999999,7.945767650399998,0.0,1025.3,10.0,2015-01-03T18:00:00Z
SEA,2015.0,1.0,3,11,37.04,33.98,88.57,80.0,4.60312,5.297178433599999,0.0,1025.6,6.0,2015-01-03T19:00:00Z
SEA,2015.0,1.0,3,12,35.96,33.98,92.43,90.0,6.904679999999999,7.945767650399998,0.0,1025.5,7.0,2015-01-03T20:00:00Z
SEA,2015.0,1.0,3,13,37.04,33.98,88.57,80.0,5.7539,6.621473041999999,0.0,1025.5,7.0,2015-01-03T21:00:00Z
SEA,2015.0,1.0,3,14,37.94,33.98,85.49,90.0,4.60312,5.297178433599999,0.0,1025.6,10.0,2015-01-03T22:00:00Z
SEA,2015.0,1.0,3,15,35.96,33.08,89.16,150.0,3.4523399999999995,3.972883825199999,0.0,1025.9,10.0,2015-01-03T23:00:00Z
